polymer,nmer,category,run,source_path,dest_path,status
LP910,7,openff,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/openff/simulation_outputs/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/openff/combined_trajectory_run1.dcd,OK (copied)
LP910,7,openff,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/openff/simulation_outputs/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/openff/combined_trajectory_run2.dcd,OK (copied)
LP910,7,openff,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/openff/simulation_outputs/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/openff/combined_trajectory_run3.dcd,OK (copied)
LP910,7,GAFF,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/GAFF/simulation_outputs_implicit/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/GAFF/combined_trajectory_run1.dcd,OK (copied)
LP910,7,GAFF,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/GAFF/simulation_outputs_implicit/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/GAFF/combined_trajectory_run2.dcd,OK (copied)
LP910,7,GAFF,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/GAFF/simulation_outputs_implicit/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/GAFF/combined_trajectory_run3.dcd,OK (copied)
LP910,7,AIMNET2,openff_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/openff/simulation_outputs/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/AIMNET2/production_openff_run1.traj,OK (copied)
LP910,7,AIMNET2,GAFF_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/GAFF/simulation_outputs_implicit/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/AIMNET2/production_GAFF_run1.traj,OK (copied)
LP910,7,AIMNET2,openff_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/openff/simulation_outputs/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/AIMNET2/production_openff_run2.traj,OK (copied)
LP910,7,AIMNET2,GAFF_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/GAFF/simulation_outputs_implicit/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/AIMNET2/production_GAFF_run2.traj,OK (copied)
LP910,7,AIMNET2,openff_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/openff/simulation_outputs/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/AIMNET2/production_openff_run3.traj,OK (copied)
LP910,7,AIMNET2,GAFF_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-7mer/GAFF/simulation_outputs_implicit/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/7mer/AIMNET2/production_GAFF_run3.traj,OK (copied)
LP910,9,openff,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/openff/simulation_outputs/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/openff/combined_trajectory_run1.dcd,OK (copied)
LP910,9,openff,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/openff/simulation_outputs/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/openff/combined_trajectory_run2.dcd,OK (copied)
LP910,9,openff,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/openff/simulation_outputs/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/openff/combined_trajectory_run3.dcd,OK (copied)
LP910,9,GAFF,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/GAFF/simulation_outputs_implicit/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/GAFF/combined_trajectory_run1.dcd,OK (copied)
LP910,9,GAFF,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/GAFF/simulation_outputs_implicit/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/GAFF/combined_trajectory_run2.dcd,OK (copied)
LP910,9,GAFF,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/GAFF/simulation_outputs_implicit/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/GAFF/combined_trajectory_run3.dcd,OK (copied)
LP910,9,AIMNET2,openff_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/openff/simulation_outputs/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/AIMNET2/production_openff_run1.traj,OK (copied)
LP910,9,AIMNET2,GAFF_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/GAFF/simulation_outputs_implicit/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/AIMNET2/production_GAFF_run1.traj,OK (copied)
LP910,9,AIMNET2,openff_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/openff/simulation_outputs/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/AIMNET2/production_openff_run2.traj,OK (copied)
LP910,9,AIMNET2,GAFF_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/GAFF/simulation_outputs_implicit/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/AIMNET2/production_GAFF_run2.traj,OK (copied)
LP910,9,AIMNET2,openff_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/openff/simulation_outputs/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/AIMNET2/production_openff_run3.traj,OK (copied)
LP910,9,AIMNET2,GAFF_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-9mer/GAFF/simulation_outputs_implicit/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/9mer/AIMNET2/production_GAFF_run3.traj,OK (copied)
LP910,10,openff,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/openff/simulation_outputs/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/openff/combined_trajectory_run1.dcd,OK (copied)
LP910,10,openff,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/openff/simulation_outputs/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/openff/combined_trajectory_run2.dcd,OK (copied)
LP910,10,openff,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/openff/simulation_outputs/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/openff/combined_trajectory_run3.dcd,OK (copied)
LP910,10,GAFF,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/GAFF/simulation_outputs_implicit/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/GAFF/combined_trajectory_run1.dcd,OK (copied)
LP910,10,GAFF,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/GAFF/simulation_outputs_implicit/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/GAFF/combined_trajectory_run2.dcd,OK (copied)
LP910,10,GAFF,run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/GAFF/simulation_outputs_implicit/combined_trajectory_run3.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/GAFF/combined_trajectory_run3.dcd,OK (copied)
LP910,10,AIMNET2,openff_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/openff/simulation_outputs/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/AIMNET2/production_openff_run1.traj,OK (copied)
LP910,10,AIMNET2,GAFF_run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/GAFF/simulation_outputs_implicit/aimnet_run1/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/AIMNET2/production_GAFF_run1.traj,OK (copied)
LP910,10,AIMNET2,openff_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/openff/simulation_outputs/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/AIMNET2/production_openff_run2.traj,OK (copied)
LP910,10,AIMNET2,GAFF_run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/GAFF/simulation_outputs_implicit/aimnet_run2/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/AIMNET2/production_GAFF_run2.traj,OK (copied)
LP910,10,AIMNET2,openff_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/openff/simulation_outputs/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/AIMNET2/production_openff_run3.traj,OK (copied)
LP910,10,AIMNET2,GAFF_run3,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-10mer/GAFF/simulation_outputs_implicit/aimnet_run3/production.traj,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/10mer/AIMNET2/production_GAFF_run3.traj,OK (copied)
LP910,11,openff,run1,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/openff/simulation_outputs/combined_trajectory_run1.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/openff/combined_trajectory_run1.dcd,OK (copied)
LP910,11,openff,run2,/scratch/user/vijay_jeyaraj/ladder-polymers/LP910-11mer/openff/simulation_outputs/combined_trajectory_run2.dcd,/scratch/user/vijay_jeyaraj/ladder-polymers/trajectory_data/LP910/11mer/openff/combined_trajectory_run2.dcd,OK (copied)
